longitude,latitude,time,tp
40.0,42.0,1971-01-01,
40.0,42.0,1971-01-02,
40.0,42.0,1971-01-03,
40.0,42.0,1971-01-04,
40.0,42.0,1971-01-05,
40.0,42.0,1971-01-06,
40.0,42.0,1971-01-07,
40.0,42.0,1971-01-08,
40.0,42.0,1971-01-09,
40.0,42.0,1971-01-10,
40.0,42.0,1971-01-11,
40.0,42.0,1971-01-12,
40.0,42.0,1971-01-13,
40.0,42.0,1971-01-14,
40.0,42.0,1971-01-15,
40.0,42.0,1971-01-16,
40.0,42.0,1971-01-17,
40.0,42.0,1971-01-18,
40.0,42.0,1971-01-19,
40.0,42.0,1971-01-20,
40.0,42.0,1971-01-21,
40.0,42.0,1971-01-22,
40.0,42.0,1971-01-23,
40.0,42.0,1971-01-24,
40.0,42.0,1971-01-25,
40.0,42.0,1971-01-26,
40.0,42.0,1971-01-27,
40.0,42.0,1971-01-28,
40.0,42.0,1971-01-29,
40.0,42.0,1971-01-30,
40.0,42.0,1971-01-31,
40.0,42.0,1971-02-01,
40.0,42.0,1971-02-02,
40.0,42.0,1971-02-03,
40.0,42.0,1971-02-04,
40.0,42.0,1971-02-05,
40.0,42.0,1971-02-06,
40.0,42.0,1971-02-07,
40.0,42.0,1971-02-08,
40.0,42.0,1971-02-09,
40.0,42.0,1971-02-10,
40.0,42.0,1971-02-11,
40.0,42.0,1971-02-12,
40.0,42.0,1971-02-13,
40.0,42.0,1971-02-14,
40.0,42.0,1971-02-15,
40.0,42.0,1971-02-16,
40.0,42.0,1971-02-17,
40.0,42.0,1971-02-18,
40.0,42.0,1971-02-19,
40.0,42.0,1971-02-20,
40.0,42.0,1971-02-21,
40.0,42.0,1971-02-22,
40.0,42.0,1971-02-23,
40.0,42.0,1971-02-24,
40.0,42.0,1971-02-25,
40.0,42.0,1971-02-26,
40.0,42.0,1971-02-27,
40.0,42.0,1971-02-28,
40.0,42.0,1971-03-01,
40.0,42.0,1971-03-02,
40.0,42.0,1971-03-03,
40.0,42.0,1971-03-04,
40.0,42.0,1971-03-05,
40.0,42.0,1971-03-06,
40.0,42.0,1971-03-07,
40.0,42.0,1971-03-08,
40.0,42.0,1971-03-09,
40.0,42.0,1971-03-10,
40.0,42.0,1971-03-11,
40.0,42.0,1971-03-12,
40.0,42.0,1971-03-13,
40.0,42.0,1971-03-14,
40.0,42.0,1971-03-15,
40.0,42.0,1971-03-16,
40.0,42.0,1971-03-17,
40.0,42.0,1971-03-18,
40.0,42.0,1971-03-19,
40.0,42.0,1971-03-20,
